,외국인 보유금액 (단위:조원),외환보유액(단위:억달러),FTSE지수(종가기준),MSCI지수(종가기준),2013년물(USD),"2014년물(4월,USD)","2014년물(9월,USD)",2015년물(EUR),2016년물(USD),2019년물(USD),2023년물(USD),2024년물(USD),2027년물(USD),2028년물(USD),2029년물(USD),2044년물(USD),2048년물(USD),국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리,미국 연준 금리(평균),AAII(경제전망 단위: %),외국인투자 VIX
200512월,270.2,"2,104",170.85,386.26,67,-,74,23,-,-,-,-,-,-,-,-,-,5.06,5.33,5.6,5.49,4.04,3.7,3.75,4.157,19.42,12.07
200601월,281.7,"2,169",176.16,398.14,64,-,65,18,-,-,-,-,-,-,-,-,-,5.02,5.29,5.58,5.5,4.15,3.74,3.75,4.285,12.65,12.95
200602월,276.9,"2,160",171.3,387.84,62,-,63,15,-,-,-,-,-,-,-,-,-,4.87,5.03,5.28,5.33,4.25,3.92,4,4.491,9.075,12.34
200603월,277.2,"2,173",170.44,386.03,76,-,75,19,-,-,-,-,-,-,-,-,-,4.93,5.13,5.42,5.3,4.27,3.97,4,4.589,11.4,11.39
200604월,287.5,"2,229",178.12,400.15,65,-,65,22,-,-,-,-,-,-,-,-,-,4.95,5.16,5.45,5.24,4.33,3.97,4,4.79,10.25,11.59
200605월,264.6,"2,247",165.18,370.41,67,-,70,24,-,-,-,-,-,-,-,-,-,4.78,4.93,5.2,5.05,4.36,3.96,4,4.94,5.75,16.44
200606월,259,"2,244",162.68,365.32,80,-,81,24,-,-,-,-,-,-,-,-,-,4.89,5.03,5.25,5.17,4.47,4.17,4.25,4.991,-15.02,13.08
200607월,256.5,"2,257",164.19,367,71,-,73,20,-,-,-,-,-,-,-,-,-,4.89,5,5.16,5.18,4.63,4.21,4.25,5.235,-12.475,14.95
200608월,261.9,"2,270",169.7,378.38,69,-,70,19,-,-,-,-,-,-,-,-,-,4.77,4.83,4.94,5.1,4.68,4.42,4.5,5.246,-1.66,12.31
200609월,263.4,"2,282",172.49,383.95,68,-,69,17,-,-,-,-,-,-,-,-,-,4.69,4.76,4.89,5.02,4.64,4.47,4.5,5.254,13.65,11.98
200610월,260.8,"2,295",171.06,380.6,67,-,67,17,-,-,-,-,-,-,-,-,-,4.62,4.67,4.79,4.93,4.57,4.48,4.5,5.245,12.1,11.1
200611월,271,"2,343",178.39,396.38,64,-,68,17,-,-,-,-,-,-,-,-,-,4.72,4.79,4.91,5.05,4.6,4.47,4.5,5.245,7.94,10.91
200612월,272.8,"2,390",178.26,395.18,60,-,64,23,70,-,-,-,-,-,-,-,-,4.82,4.88,4.95,5.18,4.76,4.5,4.5,5.238,1.775,11.56
200701월,277.6,"2,402",170.96,379.3,66,-,66,19,72,-,-,-,-,-,-,-,-,4.97,5,5.04,5.32,4.92,4.63,4.5,5.248,16.675,10.42
200702월,291.8,"2,428",178.59,395.57,64,-,64,26,73,-,-,-,-,-,-,-,-,4.91,4.94,5.01,5.28,4.95,4.6,4.5,5.258,20,15.42
200703월,297.9,"2,439",182.26,404.75,63,-,62,24,72,-,-,-,-,-,-,-,-,4.79,4.82,4.94,5.2,4.94,4.6,4.5,5.256,0.68,14.64
200704월,314.3,"2,473",191.65,424.43,59,-,60,20,68,-,-,-,-,-,-,-,-,4.94,4.96,5.07,5.34,4.95,4.69,4.5,5.249,3.5,14.22
200705월,336.4,"2,507",208.11,458.21,58,-,58,16,66,-,-,-,-,-,-,-,-,5.1,5.13,5.22,5.49,5.04,4.61,4.5,5.253,-7.32,13.05
200706월,343.1,"2,507",213.08,469.6,65,-,63,17,69,-,-,-,-,-,-,-,-,5.24,5.35,5.48,5.64,5.03,4.54,4.5,5.254,1.1,16.23
200707월,369.9,"2,548",235.74,518.36,94,-,95,17,100,-,-,-,-,-,-,-,-,5.35,5.43,5.52,5.75,5.05,4.67,4.75,5.258,9.275,23.52
200708월,348.4,"2,553",229.65,505.53,97,-,87,30,98,-,-,-,-,-,-,-,-,5.28,5.33,5.42,5.7,5.21,4.92,5,5.022,0.32,23.379
200709월,359.8,"2,573",241.45,529.84,93,-,74,29,86,-,-,-,-,-,-,-,-,5.39,5.44,5.52,5.85,5.34,4.98,5,4.938,5.875,18
200710월,372.1,"2,601",254.43,558.47,93,-,73,29,86,-,-,-,-,-,-,-,-,5.42,5.49,5.56,5.98,5.34,5,5,4.755,11.175,18.53
200711월,344.7,"2,619",235.33,516.72,131,-,100,43,117,-,-,-,-,-,-,-,-,5.54,5.59,5.61,6.16,5.43,5,5,4.486,-15.64,22.87
200712월,344.2,"2,622",235.96,516.89,130,-,98,45,110,-,-,-,-,-,-,-,-,5.89,5.9,5.82,6.73,5.73,4.99,5,4.244,-4.65,22.5
200801월,279.3,"2,616",204.7,447.04,140,-,173,59,126,-,-,-,-,-,-,-,-,5.44,5.51,5.56,6.64,5.81,4.99,5,3.94,-30.32,26.2
200802월,282.2,"2,624",212.24,465.82,156,-,194,69,131,-,-,-,-,-,-,-,-,5.06,5.14,5.28,6.27,5.28,4.97,5,2.98,-11.025,26.54
200803월,278.1,"2,642",214.14,469.76,183,-,206,76,122,-,-,-,-,-,-,-,-,5.15,5.2,5.36,6.13,5.25,4.97,5,2.61,-22.375,25.61
200804월,304.4,"2,605",231.46,509.68,150,-,178,59,108,-,-,-,-,-,-,-,-,4.98,5.02,5.17,5.91,5.38,4.99,5,2.278,1.675,20.79
200805월,307.8,"2,582",234.14,513.97,153,-,183,62,113,-,-,-,-,-,-,-,-,5.28,5.36,5.5,6.22,5.36,4.97,5,1.978,13.64,17.83
200806월,274.1,"2,518",209.58,458.03,172,-,196,73,133,-,-,-,-,-,-,-,-,5.7,5.8,5.89,6.68,5.36,4.95,5,2.001,-12.675,23.95
200807월,254,"2,475",200.34,435.65,156,-,182,76,112,-,-,-,-,-,-,-,-,5.96,6.02,6.03,6.99,5.52,4.98,5,2.009,-20.74,22.94
200808월,237.1,"2,432",184.48,404.03,176,-,195,82,137,-,-,-,-,-,-,-,-,5.77,5.83,5.91,7.11,5.77,5.22,5.25,1.996,-4.225,20.65
200809월,225.4,"2,397",183.15,400.17,230,-,229,93,235,-,-,-,-,-,-,-,-,5.81,5.86,5.99,7.46,5.79,5.22,5.25,1.811,-17.675,39.389
200810월,175.4,"2,123",145.6,316.21,552,-,591,375,536,-,-,-,-,-,-,-,-,5.09,5.16,5.53,7.95,6.03,4.88,4.25,0.969,-10.66,59.889
200811월,166.2,"2,005",138.26,298.78,486,-,509,310,445,-,-,-,-,-,-,-,-,4.97,5.17,5.73,8.56,5.62,4,4,0.387,-9.775,55.279
200812월,169.6,"2,012",143.3,306.95,396,-,411,324,408,-,-,-,-,-,-,-,-,3.97,4.3,4.87,8.35,4.68,3.27,3,0.155,-8.55,40
200901월,175.7,"2,017",148.27,320.03,355,-,370,310,350,-,-,-,-,-,-,-,-,3.44,3.97,4.42,7.34,3.22,2.43,2.5,0.154,-15.58,44.84
200902월,159.5,"2,015",135.23,291.52,340,-,350,345,345,-,-,-,-,-,-,-,-,3.78,4.6,5.24,7.07,2.7,2.06,2,0.222,-22.9,46.349
200903월,178.7,"2,063",154.53,332.14,363,-,366,410,392,-,-,-,-,-,-,-,-,3.69,4.49,4.97,6.14,2.45,1.77,2,0.18,-18.675,44.139
200904월,203.3,"2,124",174.37,373.93,303,353,333,391,297,347,-,-,-,-,-,-,-,3.76,4.43,4.9,5.68,2.42,1.8,2,0.15,-1.8,36.5
200905월,212.7,"2,268",177.05,380.59,255,285,285,347,263,278,-,-,-,-,-,-,-,3.83,4.53,5.05,5.16,2.41,1.91,2,0.177,-0.125,28.92
200906월,216.9,"2,317",177.46,382.45,223,259,261,268,246,257,-,-,-,-,-,-,-,4.09,4.72,5.26,5.21,2.41,1.93,2,0.206,-5.725,26.35
200907월,254.3,"2,375",202.19,437.1,188,211,224,230,194,209,-,-,-,-,-,-,-,4.09,4.61,5.18,5.46,2.41,1.93,2,0.155,-8.08,25.92
200908월,263.3,"2,455",207.52,449.7,173,189,205,224,188,198,-,-,-,-,-,-,-,4.42,4.91,5.44,5.74,2.48,1.98,2,0.16,3.075,26.01
200909월,286.4,"2,542",219.64,475.42,112,158,165,222,148,155,-,-,-,-,-,-,-,4.4,4.85,5.38,5.58,2.64,1.99,2,0.146,-2.525,25.61
200910월,273.1,"2,642",205.92,447.08,103,149,153,165,115,149,-,-,-,-,-,-,-,4.47,4.91,5.45,5.6,2.79,1.99,2,0.118,2.32,30.69
200911월,273.7,"2,709",204.41,443.18,98,134,146,173,114,153,-,-,-,-,-,-,-,4.32,4.84,5.39,5.43,2.79,2,2,0.119,-5.6,24.51
200912월,296.8,"2,700",222,480.78,59,81,100,145,94,128,-,-,-,-,-,-,-,4.24,4.76,5.31,5.35,2.82,2,2,0.118,11.02,21.68
201001월,281.9,"2,737",210.35,456.36,59,105,117,151,78,135,-,-,-,-,-,-,-,4.29,4.84,5.35,5.4,2.88,2,2,0.11,9.775,24.62
201002월,277.6,"2,707",208.01,450.47,50,101,100,154,69,126,-,-,-,-,-,-,-,4.19,4.76,5.3,5.32,2.88,2,2,0.126,-3.25,19.5
201003월,300.8,"2,723",221.81,480.16,27,76,93,138,56,98,-,-,-,-,-,-,-,3.94,4.47,4.92,5.02,2.83,2.01,2,0.164,8.225,17.59
201004월,315.8,"2,789",228.57,496.79,164,66,76,128,169,82,-,-,-,-,-,-,-,3.77,4.44,4.91,4.69,2.51,2,2,0.198,11.6,22.049
201005월,294.4,"2,702",214.46,466.81,223,135,152,187,209,138,-,-,-,-,-,-,-,3.7,4.41,4.95,4.48,2.45,2.01,2,0.2,-0.725,32.07
201006월,301.9,"2,742",220.72,478.94,226,146,165,208,220,155,-,-,-,-,-,-,-,3.75,4.41,4.93,4.65,2.45,2,2,0.176,0.35,34.54
201007월,316.6,"2,860",230.01,498.48,197,123,136,183,204,131,-,-,-,-,-,-,-,3.88,4.45,4.91,4.81,2.58,2.21,2.25,0.182,-11.6,23.5
201008월,311,"2,854",227.36,491.48,169,110,109,163,179,104,-,-,-,-,-,-,-,3.73,4.27,4.68,4.68,2.63,2.27,2.25,0.189,-9.85,26.049
201009월,335.6,"2,898",243.19,522.85,150,87,104,152,169,97,-,-,-,-,-,-,-,3.48,3.91,4.28,4.41,2.66,2.27,2.25,0.194,11.6,23.7
201010월,340.4,"2,933",242.82,523.85,154,85,104,154,168,95,-,-,-,-,-,-,-,3.24,3.66,4.11,4.13,2.66,2.26,2.25,0.191,23.9,21.2
201011월,351.1,"2,902",250.49,539.94,172,114,128,194,194,129,-,-,-,-,-,-,-,3.4,4.03,4.48,4.19,2.73,2.37,2.5,0.194,19.425,23.54
201012월,386.2,"2,916",273.61,587.08,175,90,121,165,184,100,-,-,-,-,-,-,-,3.25,4.02,4.46,4.17,2.8,2.5,2.5,0.183,31.12,17.75
201101월,387.8,"2,960",276.44,592.75,172,207,235,168,188,101,-,-,-,-,-,-,-,3.71,4.3,4.69,4.52,2.93,2.66,2.75,0.168,24,19.53
201102월,363.6,"2,977",259.82,557.28,163,206,233,166,187,98,-,-,-,-,-,-,-,3.94,4.41,4.76,4.72,3.13,2.75,2.75,0.156,17.175,18.35
201103월,395.2,"2,986",282.71,604.24,151,192,218,167,170,99,-,-,-,-,-,-,-,3.74,4.13,4.51,4.54,3.35,2.92,3,0.138,1.84,17.74
201104월,411.8,"3,072",293.82,628.87,132,180,209,167,165,110,-,-,-,-,-,-,-,3.74,4.1,4.48,4.54,3.4,3.01,3,0.098,8.625,14.75
201105월,401.7,"3,051",285.79,611.07,115,155,189,167,155,94,-,-,-,-,-,-,-,3.66,3.97,4.34,4.44,3.46,3.02,3,0.093,-7.875,15.45
201106월,392.3,"3,045",277.58,592.89,117,160,187,167,151,100,-,-,-,-,-,-,-,3.65,3.92,4.24,4.4,3.53,3.21,3.25,0.092,-6.12,16.52
201107월,398.3,"3,110",279.58,595.43,119,150,178,167,162,93,-,-,-,-,-,-,-,3.77,3.98,4.23,4.48,3.59,3.26,3.25,0.07,10.725,25.25
201108월,349.8,"3,112",244.97,521.57,139,167,196,167,180,120,-,-,-,-,-,-,-,3.57,3.73,3.96,4.29,3.59,3.25,3.25,0.095,-10.725,31.62
201109월,338.8,"3,034",234.76,501.48,199,242,233,167,251,195,-,-,-,-,-,-,-,3.45,3.56,3.75,4.24,3.58,3.25,3.25,0.084,-10.34,42.959
201110월,367.1,"3,110",254.25,542.87,144,167,174,167,206,121,-,-,-,-,-,-,-,3.47,3.6,3.86,4.29,3.58,3.24,3.25,0.07,3.075,29.959
201111월,354.6,"3,086",246.12,524.21,153,174,179,167,203,130,-,-,-,-,-,-,-,3.39,3.53,3.8,4.24,3.56,3.26,3.25,0.081,9.025,27.799
201112월,350.9,"3,064",243.69,519.4,165,171,178,167,207,144,-,-,-,-,-,-,-,3.36,3.51,3.81,4.24,3.55,3.26,3.25,0.071,3.84,23.4
201201월,379.7,"3,113",262.75,557.81,162,169,189,167,181,144,-,-,-,-,-,-,-,3.37,3.5,3.8,4.24,3.55,3.26,3.25,0.081,29.2,19.44
201202월,395.5,"3,158",274.37,580.41,144,162,173,167,175,127,-,-,-,-,-,-,-,3.43,3.55,3.81,4.25,3.53,3.25,3.25,0.103,20.625,18.43
201203월,400.6,"3,160",274.54,584.21,131,148,161,-,160,119,-,-,-,-,-,-,-,3.55,3.69,3.95,4.36,3.54,3.25,3.25,0.126,16.22,15.5
201204월,402.1,"3,168",273.97,583.24,112,134,139,-,144,109,-,-,-,-,-,-,-,3.5,3.64,3.9,4.25,3.54,3.25,3.25,0.139,-3.875,17.15
201205월,367.8,"3,109",253.79,539.79,110,135,136,-,142,119,-,-,-,-,-,-,-,3.38,3.49,3.75,4.01,3.54,3.26,3.25,0.155,-10.88,24.059
201206월,369.4,"3,124",253.4,539.12,102,126,129,-,145,128,-,-,-,-,-,-,-,3.29,3.41,3.63,3.87,3.54,3.26,3.25,0.161,-9.7,17.08
201207월,379.6,"3,144",259.45,551.31,96,111,113,-,128,105,-,-,-,-,-,-,-,3.01,3.12,3.3,3.6,3.34,3.08,3,0.156,-9.95,18.93
201208월,383.5,"3,169",258.97,548.4,81,98,101,-,111,50,-,-,-,-,-,-,-,2.83,2.94,3.09,3.4,3.19,3,3,0.132,6.32,17.469
201209월,405.4,"3,220",271.31,574.53,76,85,86,-,84,60,-,-,-,-,-,-,-,2.81,2.89,3.05,3.31,3.14,2.99,3,0.144,1.7,15.73
201210월,387.4,"3,235",258.63,547.45,70,74,75,-,59,39,-,-,-,-,-,-,-,2.78,2.85,2.97,3.3,2.93,2.8,2.75,0.158,-9.35,18.6
201211월,393.3,"3,261",263.43,557.94,65,70,72,-,52,25,-,-,-,-,-,-,-,2.8,2.87,2.99,3.32,2.85,2.75,2.75,0.16,-5,15.87
201212월,410.2,"3,270",274.67,579.98,63,71,72,-,46,35,-,-,-,-,-,-,-,2.85,2.98,3.13,3.3,2.88,2.75,2.75,0.164,14.15,18.02
201301월,401.9,"3,289",267.97,565.78,-,65,65,-,74,124,-,-,-,-,-,-,-,2.75,2.86,3.05,3.2,2.86,2.76,2.75,0.142,18.08,14.28
201302월,420.5,"3,274",278.42,588.27,-,60,64,-,75,122,-,-,-,-,-,-,-,2.7,2.83,3.04,3.06,2.83,2.75,2.75,0.145,6.95,15.51
201303월,412.2,"3,274",272.75,578.08,-,70,72,-,80,124,-,-,-,-,-,-,-,2.6,2.69,2.91,2.95,2.81,2.74,2.75,0.143,5.3,12.7
201304월,399.3,"3,288",263.36,558.18,-,79,82,-,91,126,-,-,-,-,-,-,-,2.55,2.63,2.84,2.91,2.8,2.75,2.75,0.145,-14.95,13.52
201305월,413.7,"3,281",270.08,575.13,-,83,83,-,100,123,-,-,-,-,-,-,-,2.59,2.68,2.9,2.96,2.72,2.55,2.5,0.109,10.26,16.299
201306월,377.9,"3,264",251.1,533.83,-,80,84,-,110,160,-,-,-,-,-,-,-,2.87,3.08,3.31,3.24,2.69,2.49,2.5,0.093,-2.125,16.86
201307월,385.3,"3,297",257.24,544.38,-,73,76,-,119,143,-,-,-,-,-,-,-,2.91,3.18,3.47,3.38,2.68,2.48,2.5,0.092,24.45,13.45
201308월,396.6,"3,311",262.48,558.18,-,57,59,-,125,134,-,-,-,-,-,-,-,2.94,3.26,3.61,3.33,2.66,2.5,2.5,0.082,3.74,17.01
201309월,416.8,"3,369",272,576.98,-,49,55,-,117,114,-,-,-,-,-,-,-,2.9,3.17,3.53,3.29,2.66,2.5,2.5,0.08,11.5,16.6
201310월,437.3,"3,432",278.81,594.94,-,40,43,-,116,97,77,-,-,-,-,-,-,2.83,3.08,3.44,3.25,2.66,2.5,2.5,0.087,18.4,13.75
201311월,442.4,"3,450",281.42,600.97,-,29,33,-,95,94,70,-,-,-,-,-,-,2.94,3.24,3.58,3.37,2.65,2.5,2.5,0.084,14.825,13.7
201312월,430.6,"3,465",275.8,589.43,-,21,29,-,97,92,69,-,-,-,-,-,-,2.94,3.3,3.65,3.36,2.65,2.5,2.5,0.085,22.575,13.72
201401월,412.5,"3,484",263.31,562.13,-,-,-,-,83,97,78,-,-,-,-,-,-,2.89,3.26,3.65,3.32,2.65,2.5,2.5,0.071,12.74,18.41
201402월,425.2,"3,518",269.11,577.6,-,-,-,-,76,82,72,-,-,-,-,-,-,2.85,3.16,3.52,3.28,2.65,2.49,2.5,0.066,10.575,14
201403월,424.6,"3,543",268.67,576.7,-,-,-,-,68,59,58,-,-,-,-,-,-,2.87,3.17,3.54,3.3,2.65,2.48,2.5,0.078,10.375,13.88
201404월,424.2,"3,559",265.4,569.22,-,-,-,-,64,58,53,-,-,-,-,-,-,2.88,3.17,3.54,3.3,2.65,2.49,2.5,0.09,1.125,13.41
201405월,436.9,"3,609",271.06,583.2,-,-,-,-,55,51,50,-,-,-,-,-,-,2.84,3.08,3.4,3.26,2.65,2.49,2.5,0.087,5.56,11.4
201406월,437.2,"3,666",271.72,583.2,-,-,-,-,44,39,37,-,-,-,-,-,-,2.75,2.97,3.3,3.17,2.65,2.48,2.5,0.095,16.95,11.57
201407월,459.5,"3,680",281.76,603.12,-,-,-,-,50,35,39,-,-,-,-,40,-,2.56,2.77,3.06,2.97,2.65,2.49,2.5,0.09,5.74,16.95
201408월,455.1,"3,675",277.04,590.2,-,-,-,-,40,38,38,-,-,-,-,40,-,2.54,2.77,3.09,2.93,2.52,2.34,2.25,0.088,15.2,12.09
201409월,437.2,"3,644",266.91,563.85,-,-,-,-,35,40,44,-,-,-,-,41,-,2.41,2.65,3.01,2.78,2.35,2.23,2.25,0.088,16.85,16.309
201410월,430.1,"3,637",260.08,553.03,-,-,-,-,36,41,42,-,-,-,-,39,-,2.24,2.42,2.77,2.6,2.21,2.06,2,0.089,15.58,14.03
201411월,438,"3,631",262.26,558.73,-,-,-,-,35,40,43,-,-,-,-,41,-,2.14,2.33,2.69,2.47,2.14,1.98,2,0.092,33.225,13.33
201412월,422.3,"3,636",251.17,536.46,-,-,-,-,-,43,48,-,-,-,-,45,-,2.14,2.33,2.68,2.46,2.13,1.99,2,0.122,20.85,19.2
201501월,433.5,"3,622",255.67,546.17,-,-,-,-,-,40,50,-,-,-,-,55,-,2.04,2.16,2.42,2.36,2.13,1.99,2,0.114,19.68,20.969
201502월,436.8,"3,624",257.95,550.24,-,-,-,-,-,38,48,-,-,-,-,53,-,2.02,2.11,2.35,2.3,2.12,1.99,2,0.11,19.25,13.34
201503월,451.3,"3,628",263.07,563.21,-,-,-,-,-,38,47,-,-,-,-,47,-,1.87,1.97,2.28,2.13,1.95,1.82,1.75,0.112,8.075,15.29
201504월,470.3,"3,699",271.94,580.38,-,-,-,-,-,35,47,-,-,-,-,45,-,1.74,1.86,2.18,1.99,1.81,1.73,1.75,0.124,6.9,14.55
201505월,461.4,"3,715",264.69,565.77,-,-,-,-,-,34,46,-,-,-,-,47,-,1.88,2.11,2.49,2.12,1.8,1.74,1.75,0.123,0.675,13.84
201506월,444.6,"3,747",255.7,545.06,-,-,-,-,-,34,46,-,-,-,-,47,-,1.77,2.04,2.47,2.01,1.7,1.57,1.5,0.129,-1.2,18.23
201507월,430.2,"3,708",247.49,525.57,-,-,-,-,-,33,48,-,-,-,-,44,-,1.78,2.05,2.45,2,1.65,1.48,1.5,0.13,-3.78,12.12
201508월,405.2,"3,679",235.53,500.6,-,-,-,-,-,37,54,-,-,-,-,47,-,1.74,1.95,2.31,1.98,1.64,1.49,1.5,0.138,-6.325,28.43
201509월,413.8,"3,681",240.46,510.49,-,-,-,-,-,43,57,-,-,-,-,47,-,1.65,1.85,2.22,1.95,1.6,1.48,1.5,0.136,1.95,24.5
201510월,441.3,"3,696",256.54,546.39,-,-,-,-,-,35,52,-,-,-,-,41,-,1.63,1.78,2.09,1.96,1.58,1.48,1.5,0.123,6.98,15.07
201511월,430.2,"3,685",251.65,535.54,-,-,-,-,-,33,45,-,-,-,-,38,-,1.75,1.95,2.25,2.12,1.59,1.49,1.5,0.117,9.55,16.129
201512월,420.4,"3,680",247.28,526.86,-,-,-,-,-,29,43,-,-,-,-,37,-,1.72,1.9,2.18,2.14,1.67,1.48,1.5,0.24,-2.44,18.209
201601월,403.6,"3,676",238.34,508.22,-,-,-,-,-,96,46,-,-,-,-,40,-,1.63,1.77,2.03,2.1,1.67,1.49,1.5,0.342,-20.275,20.2
201602월,407.3,"3,658",240.04,511.24,-,-,-,-,-,99,43,-,-,-,-,41,-,1.47,1.59,1.83,1.95,1.64,1.49,1.5,0.375,-11.775,20.549
201603월,432.5,"3,698",253.21,538.62,-,-,-,-,-,97,38,-,-,-,-,34,-,1.5,1.61,1.85,1.98,1.63,1.49,1.5,0.362,6.08,13.95
201604월,432.2,"3,725",251.78,534.26,-,-,-,-,-,87,33,-,-,-,-,20,-,1.47,1.57,1.81,1.94,1.61,1.49,1.5,0.365,5.5,15.7
201605월,433.4,"3,709",250.74,532.61,-,-,-,-,-,70,23,-,-,-,-,14,-,1.46,1.55,1.79,1.91,1.58,1.49,1.5,0.365,-11.325,14.19
201606월,437.4,"3,699",252.12,535.37,-,-,-,-,-,67,25,-,-,-,-,18,-,1.33,1.41,1.62,1.79,1.43,1.29,1.25,0.377,-5.78,15.63
201607월,454.7,"3,714",260.41,552.5,-,-,-,-,-,63,22,-,-,-,-,18,-,1.22,1.25,1.4,1.65,1.36,1.23,1.25,0.391,7.075,11.87
201608월,466.7,"3,755",267.26,567.46,-,-,-,-,-,61,19,-,-,-,-,12,-,1.24,1.26,1.42,1.65,1.35,1.23,1.25,0.396,4.125,13.42
201609월,469.6,"3,778",267.2,568.16,-,-,-,-,-,58,21,-,-,-,-,13,-,1.31,1.35,1.51,1.7,1.34,1.24,1.25,0.396,-7.24,13.29
201610월,468.3,"3,752",267.37,568.74,-,-,-,-,-,57,19,-,-,-,-,14,-,1.36,1.41,1.6,1.78,1.35,1.23,1.25,0.396,-7.7,17.059
201611월,469.1,"3,720",265.82,565.95,-,-,-,-,-,55,25,-,-,-,-,21,-,1.61,1.74,1.97,2.02,1.42,1.23,1.25,0.406,11.7,13.33
201612월,480.8,"3,711",272.38,580.57,-,-,-,-,-,54,25,-,-,-,-,24,-,1.69,1.87,2.16,2.16,1.54,1.23,1.25,0.54,16.58,14.04
201701월,501.1,"3,740",282.09,601.46,-,-,-,-,-,60,73,-,55,-,-,25,-,1.64,1.82,2.11,2.1,1.5,1.24,1.25,0.649,10.025,11.99
201702월,502.4,"3,739",283,602.88,-,-,-,-,-,60,74,-,53,-,-,25,-,1.67,1.86,2.16,2.13,1.49,1.23,1.25,0.656,3.4,12.92
201703월,528.2,"3,753",293.86,627.13,-,-,-,-,-,65,74,-,55,-,-,24,-,1.71,1.91,2.22,2.21,1.48,1.23,1.25,0.786,-4.82,12.37
201704월,545.6,"3,766",302.33,644.51,-,-,-,-,-,66,78,-,66,-,-,30,-,1.68,1.86,2.18,2.2,1.43,1.23,1.25,0.896,-6.6,10.82
201705월,581,"3,785",321.42,685.16,-,-,-,-,-,68,81,-,67,-,-,34,-,1.7,1.91,2.26,2.22,1.4,1.23,1.25,0.907,0.775,10.41
201706월,597.3,"3,806",330.96,705.91,-,-,-,-,-,67,82,-,68,-,-,28,-,1.67,1.86,2.17,2.21,1.38,1.24,1.25,1.04,2.14,11.18
