,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
200701월,277.6,200301월,"1,229",,200607월,164.19,,201008월,491.48,,200905월,255,285,285,347,263,278,-,-,-,-,-,-,-
200702월,291.8,200302월,"1,240",,200608월,169.7,,201009월,522.85,,200906월,223,259,261,268,246,257,-,-,-,-,-,-,-
200703월,297.9,200303월,"1,238",,200609월,172.49,,201010월,523.85,,200907월,188,211,224,230,194,209,-,-,-,-,-,-,-
200704월,314.3,200304월,"1,236",,200610월,171.06,,201011월,539.94,,200908월,173,189,205,224,188,198,-,-,-,-,-,-,-
200705월,336.4,200305월,"1,283",,200611월,178.39,,201012월,587.08,,200909월,112,158,165,222,148,155,-,-,-,-,-,-,-
200706월,343.1,200306월,"1,317",,200612월,178.26,,201101월,592.75,,200910월,103,149,153,165,115,149,-,-,-,-,-,-,-
200707월,369.9,200307월,"1,329",,200701월,170.96,,201102월,557.28,,200911월,98,134,146,173,114,153,-,-,-,-,-,-,-
200708월,348.4,200308월,"1,362",,200702월,178.59,,201103월,604.24,,200912월,59,81,100,145,94,128,-,-,-,-,-,-,-
200709월,359.8,200309월,"1,415",,200703월,182.26,,201104월,628.87,,201001월,59,105,117,151,78,135,-,-,-,-,-,-,-
200710월,372.1,200310월,"1,433",,200704월,191.65,,201105월,611.07,,201002월,50,101,100,154,69,126,-,-,-,-,-,-,-
200711월,344.7,200311월,"1,503",,200705월,208.11,,201106월,592.89,,201003월,27,76,93,138,56,98,-,-,-,-,-,-,-
200712월,344.2,200312월,"1,554",,200706월,213.08,,201107월,595.43,,201004월,164,66,76,128,169,82,-,-,-,-,-,-,-
200801월,279.3,200401월,"1,575",,200707월,235.74,,201108월,521.57,,201005월,223,135,152,187,209,138,-,-,-,-,-,-,-
200802월,282.2,200402월,"1,630",,200708월,229.65,,201109월,501.48,,201006월,226,146,165,208,220,155,-,-,-,-,-,-,-
200803월,278.1,200403월,"1,636",,200709월,241.45,,201110월,542.87,,201007월,197,123,136,183,204,131,-,-,-,-,-,-,-
200804월,304.4,200404월,"1,636",,200710월,254.43,,201111월,524.21,,201008월,169,110,109,163,179,104,-,-,-,-,-,-,-
200805월,307.8,200405월,"1,665",,200711월,235.33,,201112월,519.4,,201009월,150,87,104,152,169,97,-,-,-,-,-,-,-
200806월,274.1,200406월,"1,670",,200712월,235.96,,201201월,557.81,,201010월,154,85,104,154,168,95,-,-,-,-,-,-,-
200807월,254,200407월,"1,680",,200801월,204.7,,201202월,580.41,,201011월,172,114,128,194,194,129,-,-,-,-,-,-,-
200808월,237.1,200408월,"1,705",,200802월,212.24,,201203월,584.21,,201012월,175,90,121,165,184,100,-,-,-,-,-,-,-
200809월,225.4,200409월,"1,745",,200803월,214.14,,201204월,583.24,,201101월,172,207,235,168,188,101,-,-,-,-,-,-,-
200810월,175.4,200410월,"1,784",,200804월,231.46,,201205월,539.79,,201102월,163,206,233,166,187,98,-,-,-,-,-,-,-
200811월,166.2,200411월,"1,926",,200805월,234.14,,201206월,539.12,,201103월,151,192,218,167,170,99,-,-,-,-,-,-,-
200812월,169.6,200412월,"1,991",,200806월,209.58,,201207월,551.31,,201104월,132,180,209,167,165,110,-,-,-,-,-,-,-
200901월,175.7,200501월,"1,997",,200807월,200.34,,201208월,548.4,,201105월,115,155,189,167,155,94,-,-,-,-,-,-,-
